experiment_id,domain,source_decision_id,source_artifacts,candidate_surface,implementation_kind,eda_feature_disposition,runner_status,feature_queue_status,result_status,production_status,required_artifact,recommended_experiment,rationale
REXP-COOLING-RDQ-006,COOLING,WCT-COOL-003,reports/onda2e/cooling_effects_by_month_regime_cp.csv,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,Design a replacement regime candidate that separates cooling mechanisms before Onda 4 rerun.,"EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
REXP-DEAD-MARITIME-001,REGIME,candidate_maritime_cloudy,reports/regime-design/regime_candidate_r2_validation.csv; reports/regime-design/regime_candidate_validation_report.md,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,passed,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,Repair maritime/cloudy assignment by splitting calm/radiative and cloudy maritime cases.,"EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
REXP-DEAD-MIXED-001,REGIME,candidate_mixed_or_transition,reports/regime-design/regime_candidate_r2_validation.csv; reports/regime-design/regime_candidate_validation_report.md,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,passed,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,Split or merge mixed/transition family before rerunning candidate R2 validation.,"EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
REXP-FOEHN-RDQ-007,FOEHN,WCT-FOEHN-001,reports/onda2e/domain_foehn_score_bins_by_month_cp.csv,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,Design a regime-repair candidate using month/CP calibration or continuous FOEHN score; no feature candidate is promoted.,"EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
REXP-REGIME-RDQ-001,REGIME,REGIME_CLASSIFIER_CURRENT,solarstorm/eda/_regimes.py; docs/decisions/006-regime-classifier.md; docs/decisions/011-regime-ontology-repair.md,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,Run Onda 2E domain EDA and promote only supported/adapted rules into regime design.,"EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
REXP-REGIME-RDQ-005,REGIME,RULE_ONDA2R_PHYSICAL_REGIME_FAMILY,docs/decisions/011-regime-ontology-repair.md; docs/regime_model_card.md,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,"Resolve regime, wind, cooling, timing, rain, pressure, and foehn thesis decisions first.","EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
REXP-REGIME-RDQ-008,REGIME,WCT-REGIME-016,reports/onda2e/regime_design_candidate_v1.csv; reports/onda2e/regime_cluster_sweep_by_month_season.csv; reports/onda2e/regime_cluster_stability_by_year_bootstrap.csv; reports/onda2e/regime_cluster_physical_interpretation.csv,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,Enter regime_design_queue only; run Onda 4 robustness and final physical interpretation before any production classifier change.,"EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
REXP-REPAIR-FRR-001,FOEHN,RULE_FOEHN_SCORE_FIXED_60,reports/onda2e/domain_foehn_score_bins_by_month_cp.csv,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,Review month/CP bins and continuous-score calibration before changing any production regime classifier.,"EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
REXP-REPAIR-WRR-001,WIND,REGIME_CLASSIFIER_CURRENT,reports/onda2e/wind_sector_effects_by_month_cp.csv; reports/onda2e/wind_direction_reliability_by_day_cp.csv,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,Review wind-sector and southerly-count splits before changing the production regime classifier.,"EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
REXP-WIND-RDQ-009,WIND,WCT-WIND-019,reports/onda2e/wind_direction_reliability_by_day_cp.csv,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,"Evaluate southerly-count/depth as a regime-design split, not as a promoted model feature.","EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
TEXP-COOLING-MECHANISM-001,COOLING,WCT-COOL-003,reports/onda2e/cooling_effects_by_month_regime_cp.csv; reports/onda2e/cooling_event_taxonomy_by_day_cp.csv,regime_assignment,threshold_calibration,threshold_calibration_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,threshold calibration result with train-only assignment,Calibrate cooling thresholds by mechanism/month/CP inside candidate regime design only.,"EDA evidence is valuable for experiment design, but this catalog row is threshold_calibration_only, not a direct feature promotion."
TEXP-COOLING-RDQ-003,COOLING,RULE_COOLING_FIXED_MINUS_2_C_PER_H,solarstorm/onda2e/_atlas.py; solarstorm/robustness/_regime_diagnostics.py; reports/regime/2026-06-06-cooling-rule-experiment.md,validation_harness,threshold_calibration,threshold_calibration_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,threshold calibration result with train-only assignment,Use cooling taxonomy EDA to decide mechanism-specific and month-aware cooling rules.,"EDA evidence is valuable for experiment design, but this catalog row is threshold_calibration_only, not a direct feature promotion."
TEXP-FOEHN-RDQ-004,FOEHN,RULE_FOEHN_SCORE_FIXED_60,solarstorm/robustness/_regime_diagnostics.py; reports/onda2e/thesis_atlas_v1.md,validation_harness,threshold_calibration,threshold_calibration_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,threshold calibration result with train-only assignment,Run foehn-domain EDA and decide calibrated thresholds or continuous alternatives.,"EDA evidence is valuable for experiment design, but this catalog row is threshold_calibration_only, not a direct feature promotion."
TEXP-TIMING-RDQ-002,TIMING,RULE_LATE_WARMING_FIXED_18,docs/decisions/011-regime-ontology-repair.md; solarstorm/robustness/_tmax_hour.py,validation_harness,threshold_calibration,threshold_calibration_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,threshold calibration result with train-only assignment,Compute train-only month/regime Tmax-hour distributions and decide retain/adapt/reject.,"EDA evidence is valuable for experiment design, but this catalog row is threshold_calibration_only, not a direct feature promotion."
WEXP-SOUTHERLY-DEPTH-001,WIND,WCT-WIND-019,reports/onda2e/wind_sector_effects_by_month_cp.csv; reports/onda2e/wind_direction_reliability_by_day_cp.csv,regime_assignment,regime_revision,regime_design_only,not_feature_runner_scope,queue_empty,not_run,EXPERIMENT_ONLY,regime design validation + Onda 4 robustness review,"Evaluate southerly count/depth as regime-design split, not as production feature.","EDA evidence is valuable for experiment design, but this catalog row is regime_design_only, not a direct feature promotion."
