experiment_id,experiment_family,domain,source_decision_id,source_artifacts,weakness_target,candidate_surface,implementation_kind,input_columns_or_artifacts,strata,causal_status,leakage_risk,power_warning,baseline_comparator,success_metric,acceptance_gate,stop_condition,production_status,next_action
REXP-DEAD-MARITIME-001,regime,REGIME,candidate_maritime_cloudy,reports/regime-design/regime_candidate_r2_validation.csv; reports/regime-design/regime_candidate_validation_report.md,dead_regime,regime_assignment,regime_revision,candidate_regime_label; pre-CP Onda 2E cluster inputs,candidate regime family x CP,causal_available,Candidate labels are assigned offline from pre-CP inputs; no production overwrite.,All 92 R2 validation rows fail for candidate_maritime_cloudy; inspect sparse cells.,RULE_ONDA2R_PHYSICAL_REGIME_FAMILY,dead_regime_count,Dead candidate family count decreases and no passing family becomes dead.,Family remains dead or revision requires outcome/post-CP assignment.,EXPERIMENT_ONLY,Repair maritime/cloudy assignment by splitting calm/radiative and cloudy maritime cases.
REXP-DEAD-MIXED-001,regime,REGIME,candidate_mixed_or_transition,reports/regime-design/regime_candidate_r2_validation.csv; reports/regime-design/regime_candidate_validation_report.md,dead_regime,regime_assignment,regime_revision,candidate_regime_label; pre-CP Onda 2E cluster inputs,candidate regime family x CP,causal_available,Candidate labels are assigned offline from pre-CP inputs; no production overwrite.,All 92 R2 validation rows fail for candidate_mixed_or_transition; inspect sparse cells.,RULE_ONDA2R_PHYSICAL_REGIME_FAMILY,dead_regime_count,Dead candidate family count decreases and no passing family becomes dead.,Family remains dead or revision requires outcome/post-CP assignment.,EXPERIMENT_ONLY,Split or merge mixed/transition family before rerunning candidate R2 validation.
REXP-REGIME-RDQ-001,regime,REGIME,REGIME_CLASSIFIER_CURRENT,solarstorm/eda/_regimes.py; docs/decisions/006-regime-classifier.md; docs/decisions/011-regime-ontology-repair.md,regime_design_review,regime_assignment,regime_revision,solarstorm/eda/_regimes.py; docs/decisions/006-regime-classifier.md; docs/decisions/011-regime-ontology-repair.md,month x CP x candidate regime,audit_only,Experiment-only queue item; no production classifier or feature mutation.,Onda 4 still reports dead causal physical regimes and Onda 2E has not produced a replacement ontology decision.,REGIME_CLASSIFIER_CURRENT,dead_regime_count,Advance only if candidate improves R2/dead-regime screen and passes Onda 4 review.,"Park if sparse, leaky, or no better than the existing comparator.",EXPERIMENT_ONLY,Run Onda 2E domain EDA and promote only supported/adapted rules into regime design.
REXP-REGIME-RDQ-005,regime,REGIME,RULE_ONDA2R_PHYSICAL_REGIME_FAMILY,docs/decisions/011-regime-ontology-repair.md; docs/regime_model_card.md,regime_design_review,regime_assignment,regime_revision,docs/decisions/011-regime-ontology-repair.md; docs/regime_model_card.md,month x CP x candidate regime,audit_only,Experiment-only queue item; no production classifier or feature mutation.,"The family is repaired relative to late_warming, but not proven as the final climatology ontology.",RULE_ONDA2R_PHYSICAL_REGIME_FAMILY,dead_regime_count,Advance only if candidate improves R2/dead-regime screen and passes Onda 4 review.,"Park if sparse, leaky, or no better than the existing comparator.",EXPERIMENT_ONLY,"Resolve regime, wind, cooling, timing, rain, pressure, and foehn thesis decisions first."
REXP-REGIME-RDQ-008,regime,REGIME,WCT-REGIME-016,reports/onda2e/regime_design_candidate_v1.csv; reports/onda2e/regime_cluster_sweep_by_month_season.csv; reports/onda2e/regime_cluster_stability_by_year_bootstrap.csv; reports/onda2e/regime_cluster_physical_interpretation.csv,regime_design_review,regime_assignment,regime_revision,reports/onda2e/regime_design_candidate_v1.csv; reports/onda2e/regime_cluster_sweep_by_month_season.csv; reports/onda2e/regime_cluster_stability_by_year_bootstrap.csv; reports/onda2e/regime_cluster_physical_interpretation.csv,month x CP x candidate regime,causal_available,Experiment-only queue item; no production classifier or feature mutation.,"k=6 wins approximate BIC in 16/16 month/season strata; annual best-k stability matches 212/240 checks (88.3%); physical interpretation yields 4 candidate families but remains design_evidence_only, so Onda 4 and final interpretation are still required.",WCT-REGIME-016,dead_regime_count,Advance only if candidate improves R2/dead-regime screen and passes Onda 4 review.,"Park if sparse, leaky, or no better than the existing comparator.",EXPERIMENT_ONLY,Enter regime_design_queue only; run Onda 4 robustness and final physical interpretation before any production classifier change.
REXP-REPAIR-WRR-001,regime,WIND,REGIME_CLASSIFIER_CURRENT,reports/onda2e/wind_sector_effects_by_month_cp.csv; reports/onda2e/wind_direction_reliability_by_day_cp.csv,regime_repair,regime_assignment,regime_revision,review_wind_sector_split_for_regime_design,month x CP x candidate regime,causal_available,Repair candidate is experiment-only and must use pre-CP evidence.,Pre-CP wind evidence spans 9 sectors; 9749/21824 day/CP rows have southerly-sector observations.,REGIME_CLASSIFIER_CURRENT,dead_regime_count,Repair improves R2/dead-regime validation without production mutation.,"Repair remains dead, sparse, or leaky.",EXPERIMENT_ONLY,Review wind-sector and southerly-count splits before changing the production regime classifier.
REXP-WIND-RDQ-009,regime,WIND,WCT-WIND-019,reports/onda2e/wind_direction_reliability_by_day_cp.csv,regime_design_review,regime_assignment,regime_revision,reports/onda2e/wind_direction_reliability_by_day_cp.csv,month x CP x candidate regime,causal_available,Experiment-only queue item; no production classifier or feature mutation.,Pre-CP southerly-sector counts are artifact-backed; max southerly count by day/CP is 24.,WCT-WIND-019,dead_regime_count,Advance only if candidate improves R2/dead-regime screen and passes Onda 4 review.,"Park if sparse, leaky, or no better than the existing comparator.",EXPERIMENT_ONLY,"Evaluate southerly-count/depth as a regime-design split, not as a promoted model feature."
WEXP-SOUTHERLY-DEPTH-001,regime,WIND,WCT-WIND-019,reports/onda2e/wind_sector_effects_by_month_cp.csv; reports/onda2e/wind_direction_reliability_by_day_cp.csv,regime_split,regime_assignment,regime_revision,southerly_count; southerly_depth; month; CP,month x CP x wind sector depth,causal_available,Use only pre-CP wind-sector observations for assignment.,Wind EDA reports 28/412 sector effect cells with n_obs < 30.,REGIME_CLASSIFIER_CURRENT,dead_regime_count,Southerly-depth split improves candidate R2 screen and keeps passing families alive.,"Split is unstable, sparse, or worsens dead-regime count.",EXPERIMENT_ONLY,"Evaluate southerly count/depth as regime-design split, not as production feature."
TEXP-COOLING-MECHANISM-001,threshold,COOLING,WCT-COOL-003,reports/onda2e/cooling_effects_by_month_regime_cp.csv; reports/onda2e/cooling_event_taxonomy_by_day_cp.csv,fixed_threshold,regime_assignment,threshold_calibration,temp_slope_pre_cp; wind shift; rain; pressure; cooling_mechanism,month x CP x cooling mechanism,causal_available,Do not use final Tmax or post-CP cooling to assign a live regime.,Require per-mechanism power checks before any regime split advances.,RULE_COOLING_FIXED_MINUS_2_C_PER_H,dead_regime_count,Calibrated cooling split reduces dead regimes without increasing leakage risk.,"Split remains dead, sparse, or requires outcome-derived assignment.",EXPERIMENT_ONLY,Calibrate cooling thresholds by mechanism/month/CP inside candidate regime design only.
TEXP-COOLING-RDQ-003,threshold,COOLING,RULE_COOLING_FIXED_MINUS_2_C_PER_H,solarstorm/onda2e/_atlas.py; solarstorm/robustness/_regime_diagnostics.py; reports/regime/2026-06-06-cooling-rule-experiment.md,fixed_threshold,validation_harness,threshold_calibration,solarstorm/onda2e/_atlas.py; solarstorm/robustness/_regime_diagnostics.py; reports/regime/2026-06-06-cooling-rule-experiment.md,month x CP x candidate regime,audit_only,Experiment-only queue item; no production classifier or feature mutation.,"Cooling has not yet been calibrated by month, mechanism, wind context, rain, pressure, or sample power.",RULE_COOLING_FIXED_MINUS_2_C_PER_H,mae_delta,Advance only if calibrated threshold beats quarantined comparator.,"Park if sparse, leaky, or no better than the existing comparator.",EXPERIMENT_ONLY,Use cooling taxonomy EDA to decide mechanism-specific and month-aware cooling rules.
TEXP-FOEHN-RDQ-004,threshold,FOEHN,RULE_FOEHN_SCORE_FIXED_60,solarstorm/robustness/_regime_diagnostics.py; reports/onda2e/thesis_atlas_v1.md,fixed_threshold,validation_harness,threshold_calibration,solarstorm/robustness/_regime_diagnostics.py; reports/onda2e/thesis_atlas_v1.md,month x CP x candidate regime,audit_only,Experiment-only queue item; no production classifier or feature mutation.,"Foehn threshold has not been calibrated by month, wind sector, dewpoint behavior, and Tmax anomaly.",RULE_FOEHN_SCORE_FIXED_60,mae_delta,Advance only if calibrated threshold beats quarantined comparator.,"Park if sparse, leaky, or no better than the existing comparator.",EXPERIMENT_ONLY,Run foehn-domain EDA and decide calibrated thresholds or continuous alternatives.
TEXP-TIMING-RDQ-002,threshold,TIMING,RULE_LATE_WARMING_FIXED_18,docs/decisions/011-regime-ontology-repair.md; solarstorm/robustness/_tmax_hour.py,fixed_threshold,validation_harness,threshold_calibration,docs/decisions/011-regime-ontology-repair.md; solarstorm/robustness/_tmax_hour.py,month x CP x candidate regime,audit_only,Experiment-only queue item; no production classifier or feature mutation.,Late Tmax must be month/regime-relative; fixed 18:00 ignores seasonal and physical timing norms.,RULE_LATE_WARMING_FIXED_18,mae_delta,Advance only if calibrated threshold beats quarantined comparator.,"Park if sparse, leaky, or no better than the existing comparator.",EXPERIMENT_ONLY,Compute train-only month/regime Tmax-hour distributions and decide retain/adapt/reject.
