thesis_id,domain,claim,key_strata,registry_complete,priority,atlas_status,testability,testability_reason,decision_status,evidence_level,source_artifact,domain_artifact_family,strata_reviewed,review_status,evidence_summary,power_summary,leakage_risk,implementation_path,next_action
WCT-REGIME-011,REGIME,"The pre-dawn cooling trigger in the classifier conflates radiative cooling (physical, normal) with frontal cooling (synoptic disruption)","cooling hour, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"cooling hour, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-012,REGIME,strong_nw_foehn is heavily concentrated in spring–summer; its q90 timing thresholds differ from annual averages,month,true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,month,SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-013,REGIME,D-1 regime state predicts D-0 regime assignment probabilities beyond a naive DOY prior,"month, D-1 regime",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"month, D-1 regime",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-014,REGIME,Foehn events cluster in multi-day sequences; regime persistence is higher for strong_nw_foehn than for calm_radiative,"consecutive day count, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"consecutive day count, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-015,REGIME,southerly_disrupted → calm_radiative transition (post-frontal clear) produces systematically higher next-day Tmax,"month, transition type",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"month, transition type",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-016,REGIME,A data-driven K-selection test should validate K=4 vs K=3 and K=5 for Wellington clustering,"month, feature set",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,PROMOTED_TO_REGIME_DESIGN,E2_regime_architecture_candidate,reports/onda2e/regime_design_candidate_v1.csv; reports/onda2e/regime_cluster_sweep_by_month_season.csv; reports/onda2e/regime_cluster_stability_by_year_bootstrap.csv; reports/onda2e/regime_cluster_physical_interpretation.csv,regime_architecture_sprint,month and season x k=6 cluster,READY_FOR_REGIME_DESIGN_REVIEW,"k=6 wins approximate BIC in 16/16 month/season strata; annual best-k stability matches 212/240 checks (88.3%); physical interpretation yields 4 candidate families but remains design_evidence_only, so Onda 4 and final interpretation are still required.",0/96 candidate rows have smallest k=6 cluster support below 30.,Design-only artifact; no production classifier change before Onda 4 robustness.,regime_design_queue,Enter regime_design_queue only; run Onda 4 robustness and final physical interpretation before any production classifier change.
WCT-REGIME-017,REGIME,Calm/light wind in the morning window with variable direction should not default to calm_radiative,"wind speed threshold, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"wind speed threshold, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-018,REGIME,Regime classification errors (high foehn_score yet classified southerly due to cooling rule) form a systematic error class,"foehn_score bin, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"foehn_score bin, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-019,REGIME,Monthly regime prior probabilities by CP must be documented before any per-regime per-month thesis is testable,"month, CP",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"month, CP",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-REGIME-020,REGIME,"southerly_disrupted needs a 4-way sub-typology: (A) radiative capture, (B) deep frontal southerly, (C) shallow southerly, (D) post-frontal partial recovery","trigger type, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,regime_architecture_sprint,"trigger type, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-001,COOLING,Cooling rate peak hour (before 06:00 = radiative; after 09:00 = frontal) is a better disruption discriminator than magnitude alone,"month, CP window",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_event_taxonomy_by_day_cp.csv,cooling,month x regime_label x CP x cooling_mechanism,SUPPORTED_DESCRIPTIVE_EVIDENCE,Cooling peak hour/mechanism taxonomy is now computed before CP.,285/408 cooling effect cells have n < 30.,"Outcome columns appear only in effect summaries, not mechanism classification.",documented_evidence_only,Use as evidence for regime-design review; no feature candidate is promoted.
WCT-COOL-002,COOLING,"By month, the -2 C/h threshold fires more often on non-disrupted winter mornings because of longer and colder radiative nights","month, hour of min-delta",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"month, hour of min-delta",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-003,COOLING,Frontal cooling shows rapid wind-direction shift + fast temperature drop; radiative cooling is gradual with light/variable wind,"wind speed, direction delta, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,PROMOTED_TO_REGIME_DESIGN,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,month x regime_label x CP x cooling_mechanism,READY_FOR_REGIME_DESIGN_REVIEW,Frontal/radiative/post-dawn cooling classes are separated enough to enter regime design review.,285/408 cooling effect cells have n < 30.,Regime repair must not use final Tmax to assign a live regime.,regime_design_queue,Design a replacement regime candidate that separates cooling mechanisms before Onda 4 rerun.
WCT-COOL-004,COOLING,"Dewpoint rises during maritime southerly cooling (warmer SST air replacing), distinguishing it from foehn collapse cooling","dewpoint trend, wind sector, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"dewpoint trend, wind sector, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-005,COOLING,Continuous cooling duration (hours) visible by CP predicts Tmax suppression depth better than the minimum cooling rate,"hours of cooling, month, regime",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"hours of cooling, month, regime",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-006,COOLING,High-speed cooling (>20 kt southerly) predicts sustained Tmax suppression; light-wind cooling is more likely radiative and transient,"wind speed during cooling, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"wind speed during cooling, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-007,COOLING,Post-frontal recovery is a distinct sub-class within southerly_disrupted; these days may achieve Tmax near climatology despite morning cooling,"hours since frontal passage, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"hours since frontal passage, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-008,COOLING,"In summer, even 3–4 C of frontal morning cooling still leaves more remaining warming potential than in winter because of greater solar input","month, remaining warming delta",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"month, remaining warming delta",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-009,COOLING,"Cooling events arriving after 09:00 (post-dawn, after warming has started) suppress Tmax more severely than pre-dawn cooling","cooling hour, month, regime",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"cooling hour, month, regime",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-010,COOLING,Temperature at CP relative to the month's climatological temperature at that hour outperforms absolute cooling rate as a regime diagnostic,"month, CP, T_anomaly",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"month, CP, T_anomaly",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-011,COOLING,The southerly_disrupted label needs to separate cooling due to latent heat (rain evaporation) from dry frontal cooling,"precipitation flag, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"precipitation flag, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-012,COOLING,"Maritime cooling (S/SE, dewpoint rises) and radiative cooling (calm, dewpoint steady) produce qualitatively different temperature profile shapes distinguishable from METAR data","wind sector, dewpoint trend, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"wind sector, dewpoint trend, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-013,COOLING,"Consecutive cooling days (D-2 cold, D-1 cold, D-0) predict more sustained Tmax suppression than isolated single-day disruptions","consecutive count, month, regime",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"consecutive count, month, regime",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-014,COOLING,Minimum temperature by CP is a better cooling severity proxy than minimum cooling rate: it integrates depth and duration of cold,"month, regime, CP",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"month, regime, CP",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-015,COOLING,"Post-frontal radiative cooling (after southerly, skies clear, wind drops) is a warming signal for the next day, not a suppression signal for the current day","next-day regime, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"next-day regime, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-016,COOLING,The relationship between cooling rate and final Tmax is non-monotonic: moderate cooling with post-noon clearing can yield higher Tmax than no cooling (post-frontal clearing effect),"clearing time, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"clearing time, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-017,COOLING,Hours since last cooling event predicts recovery rate; 36 h of southerly leaves more residual suppression than 12 h,"hours since disruption, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"hours since disruption, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-018,COOLING,"By wind sector, cooling rate within 135–225° differs between 180–210° (pure south, cold) and 135–160° (SE, moist maritime)","sub-sector, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"sub-sector, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-019,COOLING,Temperature inversion strength at dawn (inferred from near-surface dewpoint vs temperature spread) predicts how long before surface heating overcomes the cap,"month, regime",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"month, regime",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-COOL-020,COOLING,The diurnal temperature range (DTR) by month and regime is a distributional anchor: constrained DTR is not always southerly disrupted — maritime stable days also have low DTR,"month, regime, DTR",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,cooling,"month, regime, DTR",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-WIND-001,WIND,"The heating-per-knot relationship in the N/NNE (330–045°) warm sector differs from W/NW (260–310°) cold Cook Strait sector, by month","sub-sector, speed bin, month",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,wind,"sub-sector, speed bin, month",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
WCT-WIND-002,WIND,Wind direction persistence (% obs in same ±30° sector) correlates with Tmax outcome more than instantaneous direction,"persistence metric, month, regime",true,1,E0_candidate,priority_eda,High-risk Onda 2E domain; run in first EDA wave.,SUPPORTED,E2_descriptive_domain,reports/onda2e/wind_sector_effects_by_month_cp.csv,wind,"persistence metric, month, regime",SUPPORTED_DESCRIPTIVE_EVIDENCE,Local domain EDA provides descriptive support; causal feature promotion remains separate.,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",No production feature or classifier is promoted by this thesis-level decision.,documented_evidence_only,Use this decision only through ADR-012 queues; no production feature or classifier change.
